time;escaped_particles
42.29999999999978;199
43.04999999999977;199
1.4999999999999998;1
39.299999999999805;194
37.04999999999983;185
41.549999999999784;198
36.299999999999834;182
40.79999999999979;196
40.0499999999998;195
37.79999999999982;188
38.54999999999981;190
34.79999999999985;176
35.54999999999984;179
4.5;12
33.29999999999986;169
34.049999999999855;173
32.54999999999987;168
7.500000000000007;28
5.250000000000002;17
6.0000000000000036;21
6.750000000000005;25
15.000000000000025;73
15.750000000000027;76
14.250000000000023;67
12.000000000000018;55
12.75000000000002;59
9.00000000000001;37
9.750000000000012;42
8.250000000000009;33
13.500000000000021;63
10.500000000000014;45
11.250000000000016;48
18.000000000000007;89
18.75;93
17.250000000000014;84
16.50000000000002;79
10.200000000000014;45
10.950000000000015;46
8.70000000000001;36
9.450000000000012;39
18.9;94
21.149999999999977;106
20.399999999999984;103
11.700000000000017;52
19.64999999999999;97
13.20000000000002;62
13.950000000000022;65
12.450000000000019;56
14.700000000000024;70
18.150000000000006;90
15.450000000000026;75
17.400000000000013;84
16.65000000000002;80
24.14999999999995;123
2.5499999999999994;4
26.399999999999928;136
22.649999999999963;116
21.89999999999997;112
27.14999999999992;140
1.3499999999999999;1
23.399999999999956;120
25.649999999999935;131
3.299999999999999;8
24.89999999999994;127
28.649999999999906;145
7.350000000000007;28
27.899999999999913;142
6.600000000000005;23
30.149999999999892;154
4.35;12
29.3999999999999;150
30.899999999999885;157
31.649999999999878;160
5.100000000000001;17
5.850000000000003;19
26.549999999999926;136
25.799999999999933;131
25.04999999999994;127
24.299999999999947;123
28.049999999999912;143
27.29999999999992;140
29.549999999999898;150
28.799999999999905;146
30.29999999999989;155
31.049999999999883;158
31.799999999999876;161
1.2;1
3.5999999999999988;9
5.700000000000003;19
7.200000000000006;28
7.950000000000008;32
6.450000000000005;23
2.0999999999999996;4
2.849999999999999;5
1.9499999999999995;2
0.6;0
4.199999999999999;12
4.950000000000001;17
0.3;0
17.55000000000001;86
16.80000000000002;81
16.050000000000026;77
42.599999999999774;199
43.34999999999977;199
41.84999999999978;198
41.09999999999979;196
0.15;0
10.650000000000015;45
11.400000000000016;49
38.09999999999982;189
9.150000000000011;37
12.90000000000002;60
38.84999999999981;192
8.40000000000001;34
13.650000000000022;63
22.04999999999997;112
39.5999999999998;195
15.900000000000027;77
21.299999999999976;107
22.79999999999996;117
40.349999999999795;196
15.150000000000025;74
14.400000000000023;67
35.099999999999845;177
37.349999999999824;185
