time;escaped_particles
43.79999999999976;198
42.29999999999978;198
44.549999999999756;199
43.04999999999977;198
45.29999999999975;199
46.04999999999974;199
1.4999999999999998;3
39.299999999999805;198
37.04999999999983;190
41.549999999999784;198
36.299999999999834;187
40.79999999999979;198
40.0499999999998;198
37.79999999999982;192
38.54999999999981;195
34.79999999999985;184
35.54999999999984;185
4.5;16
33.29999999999986;178
34.049999999999855;181
32.54999999999987;176
7.500000000000007;33
5.250000000000002;19
6.0000000000000036;22
6.750000000000005;26
15.000000000000025;80
15.750000000000027;84
14.250000000000023;77
12.000000000000018;62
12.75000000000002;67
9.00000000000001;43
9.750000000000012;47
8.250000000000009;37
13.500000000000021;72
10.500000000000014;53
11.250000000000016;59
18.000000000000007;97
18.75;100
17.250000000000014;93
16.50000000000002;90
10.200000000000014;51
10.950000000000015;58
8.70000000000001;42
9.450000000000012;45
18.9;101
21.149999999999977;114
20.399999999999984;110
11.700000000000017;61
19.64999999999999;105
13.20000000000002;70
13.950000000000022;75
12.450000000000019;63
14.700000000000024;80
18.150000000000006;98
15.450000000000026;82
17.400000000000013;94
16.65000000000002;90
24.14999999999995;132
2.5499999999999994;6
26.399999999999928;147
22.649999999999963;122
21.89999999999997;119
27.14999999999992;150
1.3499999999999999;3
23.399999999999956;129
25.649999999999935;143
3.299999999999999;9
24.89999999999994;138
28.649999999999906;159
7.350000000000007;31
27.899999999999913;155
6.600000000000005;26
30.149999999999892;162
4.35;15
29.3999999999999;161
30.899999999999885;167
31.649999999999878;172
5.100000000000001;19
5.850000000000003;22
26.549999999999926;147
25.799999999999933;143
25.04999999999994;140
24.299999999999947;133
28.049999999999912;157
27.29999999999992;150
29.549999999999898;161
28.799999999999905;159
30.29999999999989;164
31.049999999999883;169
31.799999999999876;173
1.2;2
3.5999999999999988;10
5.700000000000003;21
7.200000000000006;28
7.950000000000008;36
6.450000000000005;26
2.0999999999999996;4
2.849999999999999;7
1.9499999999999995;4
0.6;1
4.199999999999999;13
4.950000000000001;19
0.3;1
17.55000000000001;94
16.80000000000002;90
16.050000000000026;86
42.599999999999774;198
43.34999999999977;198
41.84999999999978;198
41.09999999999979;198
44.84999999999975;199
44.09999999999976;198
45.599999999999746;199
46.34999999999974;200
0.15;1
10.650000000000015;53
11.400000000000016;59
38.09999999999982;193
9.150000000000011;44
12.90000000000002;67
38.84999999999981;196
8.40000000000001;39
13.650000000000022;74
22.04999999999997;120
39.5999999999998;198
15.900000000000027;86
21.299999999999976;115
22.79999999999996;124
40.349999999999795;198
15.150000000000025;81
14.400000000000023;77
35.099999999999845;184
37.349999999999824;191
9.900000000000013;48
23.549999999999955;129
35.84999999999984;185
36.59999999999983;188
19.79999999999999;107
33.59999999999986;179
34.34999999999985;182
32.849999999999866;177
32.09999999999987;174
18.300000000000004;98
20.549999999999983;110
12.150000000000018;62
19.049999999999997;103
19.199999999999996;103
19.94999999999999;107
18.450000000000003;98
17.70000000000001;96
16.950000000000017;92
16.200000000000024;88
0.44999999999999996;1
23.699999999999953;129
13.350000000000021;71
12.60000000000002;65
8.100000000000009;37
8.85000000000001;42
9.600000000000012;46
21.449999999999974;115
25.949999999999932;144
11.100000000000016;58
11.850000000000017;62
20.69999999999998;112
25.19999999999994;140
22.199999999999967;121
24.449999999999946;135
22.94999999999996;127
10.350000000000014;51
5.5500000000000025;20
0.9;2
6.300000000000004;24
4.049999999999999;13
7.800000000000008;36
26.699999999999925;148
28.949999999999903;159
7.050000000000006;28
28.19999999999991;157
4.800000000000001;17
27.449999999999918;152
30.44999999999989;164
29.699999999999896;161
31.199999999999882;170
31.949999999999875;173
45.44999999999975;199
2.3999999999999995;6
44.699999999999754;199
46.19999999999974;199
1.7999999999999996;3
3.149999999999999;8
40.94999999999979;198
40.1999999999998;198
38.69999999999981;196
43.19999999999977;198
1.05;2
39.449999999999804;198
43.94999999999976;198
3.8999999999999986;12
41.69999999999978;198
42.449999999999775;198
29.849999999999895;161
29.099999999999902;160
30.599999999999888;166
31.34999999999988;170
45.89999999999974;199
41.399999999999785;198
42.14999999999978;198
40.64999999999979;198
39.8999999999998;198
42.89999999999977;198
45.14999999999975;199
43.649999999999764;198
44.39999999999976;198
37.64999999999982;192
36.89999999999983;189
