simulation,t,n_t
0,0.0375,-60
0,0.075,-60
0,0.11249999999999999,-60
0,0.15,-60
0,0.1875,-60
0,0.225,-60
0,0.2625,-60
0,0.3,-60
0,0.33749999999999997,-60
0,0.37499999999999994,-60
0,0.4124999999999999,-60
0,0.4499999999999999,-58
0,0.4874999999999999,-58
0,0.5249999999999999,-58
0,0.5624999999999999,-58
0,0.5999999999999999,-58
0,0.6374999999999998,-58
0,0.6749999999999998,-58
0,0.7124999999999998,-58
0,0.7499999999999998,-58
0,0.7874999999999998,-58
0,0.8249999999999997,-58
0,0.8624999999999997,-58
0,0.8999999999999997,-57
0,0.9374999999999997,-57
0,0.9749999999999996,-57
0,1.0124999999999997,-56
0,1.0499999999999998,-56
0,1.0875,-56
0,1.125,-56
0,1.1625,-56
0,1.2000000000000002,-56
0,1.2375000000000003,-56
0,1.2750000000000004,-56
0,1.3125000000000004,-56
0,1.3500000000000005,-56
0,1.3875000000000006,-56
0,1.4250000000000007,-56
0,1.4625000000000008,-56
0,1.5000000000000009,-56
0,1.537500000000001,-56
0,1.575000000000001,-56
0,1.6125000000000012,-56
0,1.6500000000000012,-56
0,1.6875000000000013,-55
0,1.7250000000000014,-55
0,1.7625000000000015,-55
0,1.8000000000000016,-55
0,1.8375000000000017,-55
0,1.8750000000000018,-54
0,1.9125000000000019,-54
0,1.950000000000002,-54
0,1.987500000000002,-54
0,2.025000000000002,-53
0,2.062500000000002,-53
0,2.1000000000000023,-53
0,2.1375000000000024,-52
0,2.1750000000000025,-52
0,2.2125000000000026,-52
0,2.2500000000000027,-52
0,2.2875000000000028,-52
0,2.325000000000003,-52
0,2.362500000000003,-52
0,2.400000000000003,-52
0,2.437500000000003,-52
0,2.475000000000003,-52
0,2.5125000000000033,-52
0,2.5500000000000034,-52
0,2.5875000000000035,-52
0,2.6250000000000036,-52
0,2.6625000000000036,-51
0,2.7000000000000037,-51
0,2.737500000000004,-51
0,2.775000000000004,-51
0,2.812500000000004,-51
0,2.850000000000004,-51
0,2.887500000000004,-51
0,2.9250000000000043,-51
0,2.9625000000000044,-51
0,3.0000000000000044,-51
0,3.0375000000000045,-51
0,3.0750000000000046,-51
0,3.1125000000000047,-51
0,3.150000000000005,-50
0,3.187500000000005,-50
0,3.225000000000005,-50
