simulation,t,n_t
0,0.0375,0
0,0.075,0
0,0.11249999999999999,0
0,0.15,0
0,0.1875,0
0,0.225,0
0,0.2625,0
0,0.3,0
0,0.33749999999999997,0
0,0.37499999999999994,0
0,0.4124999999999999,0
0,0.4499999999999999,0
0,0.4874999999999999,0
0,0.5249999999999999,0
0,0.5624999999999999,0
0,0.5999999999999999,0
0,0.6374999999999998,0
0,0.6749999999999998,0
0,0.7124999999999998,0
0,0.7499999999999998,0
0,0.7874999999999998,0
0,0.8249999999999997,1
0,0.8624999999999997,1
0,0.8999999999999997,1
0,0.9374999999999997,1
0,0.9749999999999996,1
0,1.0124999999999997,1
0,1.0499999999999998,1
0,1.0875,1
0,1.125,1
0,1.1625,1
0,1.2000000000000002,1
0,1.2375000000000003,1
0,1.2750000000000004,1
0,1.3125000000000004,1
0,1.3500000000000005,1
0,1.3875000000000006,2
0,1.4250000000000007,2
0,1.4625000000000008,2
0,1.5000000000000009,2
0,1.537500000000001,3
0,1.575000000000001,3
0,1.6125000000000012,3
0,1.6500000000000012,3
0,1.6875000000000013,3
0,1.7250000000000014,3
0,1.7625000000000015,3
0,1.8000000000000016,3
0,1.8375000000000017,3
0,1.8750000000000018,3
0,1.9125000000000019,3
0,1.950000000000002,3
0,1.987500000000002,3
0,2.025000000000002,3
0,2.062500000000002,3
0,2.1000000000000023,3
0,2.1375000000000024,4
0,2.1750000000000025,4
0,2.2125000000000026,4
0,2.2500000000000027,4
0,2.2875000000000028,4
0,2.325000000000003,4
0,2.362500000000003,4
0,2.400000000000003,4
0,2.437500000000003,4
0,2.475000000000003,4
0,2.5125000000000033,4
0,2.5500000000000034,4
0,2.5875000000000035,4
0,2.6250000000000036,4
0,2.6625000000000036,4
0,2.7000000000000037,4
0,2.737500000000004,4
0,2.775000000000004,4
0,2.812500000000004,4
0,2.850000000000004,4
0,2.887500000000004,4
0,2.9250000000000043,5
0,2.9625000000000044,5
0,3.0000000000000044,5
0,3.0375000000000045,5
0,3.0750000000000046,5
0,3.1125000000000047,5
0,3.150000000000005,5
0,3.187500000000005,5
0,3.225000000000005,5
0,3.262500000000005,5
0,3.300000000000005,5
0,3.3375000000000052,5
0,3.3750000000000053,5
0,3.4125000000000054,5
0,3.4500000000000055,5
0,3.4875000000000056,6
0,3.5250000000000057,6
0,3.5625000000000058,6
0,3.600000000000006,6
0,3.637500000000006,6
0,3.675000000000006,6
0,3.712500000000006,6
0,3.750000000000006,6
0,3.7875000000000063,6
0,3.8250000000000064,6
0,3.8625000000000065,7
0,3.9000000000000066,7
0,3.9375000000000067,7
0,3.9750000000000068,7
0,4.012500000000006,7
0,4.050000000000006,7
0,4.087500000000006,7
0,4.125000000000005,7
0,4.162500000000005,8
0,4.200000000000005,8
0,4.237500000000004,8
0,4.275000000000004,8
0,4.3125000000000036,8
0,4.350000000000003,8
0,4.387500000000003,8
0,4.4250000000000025,8
0,4.462500000000002,8
0,4.500000000000002,8
0,4.537500000000001,8
0,4.575000000000001,8
0,4.612500000000001,8
0,4.65,8
0,4.6875,8
0,4.725,8
0,4.762499999999999,8
0,4.799999999999999,9
0,4.837499999999999,9
0,4.874999999999998,10
0,4.912499999999998,10
0,4.9499999999999975,10
0,4.987499999999997,10
0,5.024999999999997,10
0,5.0624999999999964,10
0,5.099999999999996,10
0,5.137499999999996,10
0,5.174999999999995,10
0,5.212499999999995,10
0,5.249999999999995,11
0,5.287499999999994,11
0,5.324999999999994,11
0,5.362499999999994,11
0,5.399999999999993,11
0,5.437499999999993,11
0,5.4749999999999925,11
0,5.512499999999992,11
0,5.549999999999992,11
0,5.5874999999999915,11
0,5.624999999999991,11
0,5.662499999999991,11
0,5.69999999999999,12
0,5.73749999999999,12
0,5.77499999999999,12
0,5.812499999999989,12
0,5.849999999999989,12
0,5.887499999999989,12
0,5.924999999999988,12
0,5.962499999999988,12
0,5.999999999999988,12
0,6.037499999999987,12
0,6.074999999999987,12
0,6.1124999999999865,13
0,6.149999999999986,13
0,6.187499999999986,13
0,6.224999999999985,13
0,6.262499999999985,13
0,6.299999999999985,13
0,6.337499999999984,14
0,6.374999999999984,14
0,6.412499999999984,14
0,6.449999999999983,14
0,6.487499999999983,14
0,6.524999999999983,14
0,6.562499999999982,14
0,6.599999999999982,14
0,6.6374999999999815,14
0,6.674999999999981,14
0,6.712499999999981,14
0,6.7499999999999805,14
0,6.78749999999998,14
0,6.82499999999998,14
0,6.862499999999979,14
0,6.899999999999979,14
0,6.937499999999979,14
0,6.974999999999978,15
0,7.012499999999978,15
0,7.049999999999978,15
0,7.087499999999977,15
0,7.124999999999977,15
0,7.1624999999999766,15
0,7.199999999999976,16
0,7.237499999999976,16
0,7.2749999999999755,16
0,7.312499999999975,16
0,7.349999999999975,16
0,7.387499999999974,16
0,7.424999999999974,17
0,7.462499999999974,17
0,7.499999999999973,17
0,7.537499999999973,17
0,7.574999999999973,17
0,7.612499999999972,17
0,7.649999999999972,17
0,7.687499999999972,17
0,7.724999999999971,17
0,7.762499999999971,17
0,7.7999999999999705,17
0,7.83749999999997,18
0,7.87499999999997,18
0,7.9124999999999694,18
0,7.949999999999969,18
