simulation,t,n_t
0,0.0375,-120
0,0.075,-120
0,0.11249999999999999,-120
0,0.15,-120
0,0.1875,-120
0,0.225,-120
0,0.2625,-120
0,0.3,-120
0,0.33749999999999997,-120
0,0.37499999999999994,-120
0,0.4124999999999999,-119
0,0.4499999999999999,-119
0,0.4874999999999999,-119
0,0.5249999999999999,-119
0,0.5624999999999999,-119
0,0.5999999999999999,-119
0,0.6374999999999998,-119
0,0.6749999999999998,-118
0,0.7124999999999998,-118
0,0.7499999999999998,-118
0,0.7874999999999998,-117
0,0.8249999999999997,-117
0,0.8624999999999997,-117
0,0.8999999999999997,-117
0,0.9374999999999997,-117
0,0.9749999999999996,-117
0,1.0124999999999997,-117
0,1.0499999999999998,-117
0,1.0875,-117
0,1.125,-117
0,1.1625,-117
0,1.2000000000000002,-117
0,1.2375000000000003,-116
0,1.2750000000000004,-116
0,1.3125000000000004,-116
0,1.3500000000000005,-116
0,1.3875000000000006,-115
0,1.4250000000000007,-115
0,1.4625000000000008,-115
0,1.5000000000000009,-114
0,1.537500000000001,-114
0,1.575000000000001,-114
0,1.6125000000000012,-114
0,1.6500000000000012,-114
0,1.6875000000000013,-114
0,1.7250000000000014,-113
0,1.7625000000000015,-113
0,1.8000000000000016,-113
0,1.8375000000000017,-113
0,1.8750000000000018,-113
0,1.9125000000000019,-113
0,1.950000000000002,-113
0,1.987500000000002,-113
0,2.025000000000002,-113
0,2.062500000000002,-113
0,2.1000000000000023,-113
0,2.1375000000000024,-112
0,2.1750000000000025,-112
0,2.2125000000000026,-112
0,2.2500000000000027,-112
0,2.2875000000000028,-112
0,2.325000000000003,-112
0,2.362500000000003,-112
0,2.400000000000003,-112
0,2.437500000000003,-112
0,2.475000000000003,-112
0,2.5125000000000033,-112
0,2.5500000000000034,-112
0,2.5875000000000035,-112
0,2.6250000000000036,-112
0,2.6625000000000036,-112
0,2.7000000000000037,-112
0,2.737500000000004,-112
0,2.775000000000004,-111
0,2.812500000000004,-111
0,2.850000000000004,-110
0,2.887500000000004,-110
0,2.9250000000000043,-110
0,2.9625000000000044,-110
0,3.0000000000000044,-110
0,3.0375000000000045,-109
0,3.0750000000000046,-109
0,3.1125000000000047,-109
0,3.150000000000005,-109
0,3.187500000000005,-109
0,3.225000000000005,-109
0,3.262500000000005,-108
0,3.300000000000005,-108
0,3.3375000000000052,-108
0,3.3750000000000053,-108
0,3.4125000000000054,-107
0,3.4500000000000055,-107
0,3.4875000000000056,-107
0,3.5250000000000057,-106
0,3.5625000000000058,-106
0,3.600000000000006,-106
0,3.637500000000006,-106
0,3.675000000000006,-105
0,3.712500000000006,-105
0,3.750000000000006,-105
